Topic,Prompt Nr,Prompt,Model,Actual Model (Fill in after Rating is complete),Response,Rating Christine,Comments Christine,Rating Ansam,Comment Ansam,Rating Adrian,Comment Adrian,Rating Mike,Comment Mike,Rating Albin,Comment Albin,Rating Grzegorz,Comment Grzegorz,Translation Language,Translation Type
,,,1,,"Psycholożka i propagatorka 'growth mindset', Carol Dweck, mówiła o plastyczności mózgu oraz naszej zdolności do rozwoju umiejętności i talentów, których początkowo może nam brakować. Wielu z nas skupia się na chwaleniu końcowego rezultatu i zdolności, które wydają się być wrodzone, na przykład „Naprawdę masz oko do szczegółów” lub „Masz prawdziwy talent do organizowania wydarzeń”. Jednak badania sugerują, że skupiając się na procesie wykonywania rzeczy - chwaląc wysiłek, eksperymentowanie i strategie rozwiązywania problemów - możemy zachęcać do rozwoju nowych umiejętności oraz dalszego doskonalenia talentów.",6,"Shallow, unnatural",7,Good,8,,7,Good and simple,9,,6,"Understandable, sometimes sounds unnatural, grammar not always correct",P,C1
,,,1,,"المعالجة النفسية ومدافعة عن ""نمط التفكير الناموسي"" كارول دويك تحدثت عن مرونة الدماغ وقدرتنا على تطوير المهارات والمواهب التي قد لا نكون جيدين في بداية الأمر. يميل العديد منا إلى تركيز إشادتنا على النتيجة النهائية والمواهب الكامنة التي تبدو وراثية، مثل ""لديك حقًا عينًا للتفاصيل"" أو ""لديك موهبة حقيقية في تنظيم الفعاليات"". ومع ذلك، تشير الأبحاث إلى أنه من خلال التركيز على عملية كيفية إنجاز الأمور - بتقدير الجهد والتجريب واستراتيجيات حل المشكلات - يمكننا تشجيع تطوير المهارات الجديدة والاستمرار في صقل المواهب.",7,"Got the gist, but many of the sentences are clunky and not very natural",5,literal translation with bad sentence construction,3,I think the translation was taken from Google translate,1,,4,,5,,A,C1
,,,1,,"הפסיכולוגית ותומכת ב'אופן חשיבה של צמיחה' קרול דוויק דיברה על הפלסטיות של המוח ועל יכולתנו לפתח מיומנויות וכישורים שאולי לא היינו טובים בהם להתחלה. רבים מאיתנו מטיבים להתמקד בשבח שלנו על התוצאה הסופית והכישורים הטבעיים שנראים, לדוגמה 'אתה ממש יודע לזהות פרטים' או 'יש לך אמנות אמיתית לארגון אירועים'. אך מחקרים מציינים שעל ידי התמקדות בתהליך של איך דברים נעשים - על ידי הללת המאמץ, הניסוי ואסטרטגיות פתרון בעיות - אנו יכולים לעודד את פיתוח הכישורים החדשים ואת המתן המתמשך של הכשרות.",6,,6,Grammar mistakes,3,,3,,5,,6,,H,C1
,,,1,,"Ich ging in den Garten der Liebe
 Und sah, was ich noch nie gesehen hatte:
 Eine Kapelle wurde inmitten erbaut,
 Wo ich früher auf der grünen Wiese spielte.
 Und die Tore dieser Kapelle waren verschlossen,
 Und ""Du sollst nicht"" stand über der Tür geschrieben;
 Also wandte ich mich dem Garten der Liebe zu,
 Der so viele süße Blumen hervorbrachte.
 Und ich sah, dass er mit Gräbern gefüllt war,
 Und Grabsteine, wo Blumen sein sollten:
 Und Priester in schwarzen Gewändern gingen ihre Runden,
 Und fesselten mit Dornen meine Freuden und Wünsche.",7,"Not as poetic as the original, Still nice but Google has better translations that keep the poetic integrity ",7,Literal translation,8,,8,very machine-ish but OK,7,some lines are too literal,8,"Good, lack of the poetic aspect",G,PO
,,,1,,"Udałem się do Ogrodu Miłości,
 I ujrzałem to, czego nigdy dotąd nie widziałem:
 W środku wybudowana była Kaplica,
 Gdzie kiedyś bawiłem się na trawie.
 A bramy tej Kaplicy były zamknięte,
 I nad drzwiami było napisane ""Nie będziesz"";
 Więc odwróciłem się do Ogrodu Miłości,
 Który wiele słodkich kwiatów nosił.
 I ujrzałem, że był wypełniony grobami,
 I nagrobkami tam, gdzie powinny być kwiaty:
 A kapłani w czarnych szatach chodzili w swoje tory,
 I związali cierniami moje radości i pragnienia.",8,"Very good, especially regarding the context of the original text",8,"Sometimes directly translated, otherwise ok",8,,9,Mostly well translated,7,,7,"Good, lack of the poetic aspect, some words not correctly translated",P,PO
,,,1,,"ذهبتُ إلى حديقة الحب،
 و رأيت ما لم أر من قبل:
 كانت هناك كنيسة بُنيَت في الوسط،
 حيث كنتُ ألعبُ على العشب الأخضر.
 و كانت أبواب هذه الكنيسة مُغلقة،
 و كُتب عليها ""لا تَفعل"" فوق الباب؛
 لذلك توجهتُ إلى حديقة الحب،
 التي كانت تحملُ الكثير من الزهور الحلوة.
 و رأيتُ أنها ممتلئة بالقبور،
 و النصب التذكارية حيث ينبغي أن تكون الزهور:
 و الكهنة في ثياب سوداء، كانوا يجولون في دورهم،
 و يُربطون بالشوك، فرحي وأمانيّي.",7,,8,Good translation,2,literal translation,6,,6,,7,,A,PO
,,,1,,"הלכתי לגן האהבה
 וראיתי מה שלא ראיתי לעולם:
 קפלה הוקמה בתוך,
 היכן ששיחקתי על הדשא.
 ושערי הקפלה היו סגורים,
 ונכתב על הדלת ""לא תעשה"";
 אז הפניתי לגן האהבה,
 אותו הכיל כל כך הרבה פרחים מתוקים.
 וראיתי שהיה מלא בקברים,
 ובתי קברות שם שהיו אמורים להיות פרחים:
 וכהנים בבגדי שחור, סיימו את סיבובם,
 וכרוכים בסירטנים, שמחתי ותאוותי.",7,,7,wrong use of word,1,,5,,6,,7,,H,PO
,,,1,,"Die dominierenden Sequenztransduktionsmodelle basieren auf komplexen wiederkehrenden oder faltenden neuronalen Netzwerken, die einen Encoder und einen Decoder enthalten. Die am besten funktionierenden Modelle verbinden den Encoder und den Decoder auch durch einen Aufmerksamkeitsmechanismus. Wir schlagen eine neue einfache Netzwerkarchitektur vor, den Transformer, der ausschließlich auf Aufmerksamkeitsmechanismen basiert und vollständig auf Rekurrenz und Faltungen verzichtet. Experimente mit zwei maschinellen Übersetzungsaufgaben zeigen, dass diese Modelle eine höhere Qualität aufweisen, während sie gleichzeitig besser parallelisierbar sind und wesentlich weniger Zeit zum Trainieren benötigen.",7,Is understandable. Seems to be misstranslating some fachbegriffe,7,Mistakes in spelling and not the best usage of words ,3,"Tries to translate concepts for which there no words in German, should preserve some English ",4,very literal,7,well translated,7,"Good, wording problem",G,SC
,,,1,,"Dominujące modele transdukcji sekwencji opierają się na złożonych sieciach neuronowych rekurencyjnych lub konwolucyjnych, które obejmują enkoder i dekoder. Najlepsze modele łączą również enkoder i dekoder poprzez mechanizm uwagi. Proponujemy nową prostą architekturę sieciową, zwaną Transformerem, opartą wyłącznie na mechanizmach uwagi, całkowicie zrezygnowaną z rekurencji i konwolucji. Eksperymenty na dwóch zadaniach tłumaczenia maszynowego pokazują, że te modele są wyższej jakości, jednocześnie łatwiej je równoległować i wymagają znacznie mniej czasu na szkolenie.",7,"Good, wording not always correct",6,"Lack of context, in general understandable",5,Direct translation,7,Lacking context,5,,6,"Understandable, some words are made up",P,SC
,,,1,,"تعتمد النماذج الرئيسية لتحويل التسلسل على الشبكات العصبية المرتدة أو التحويلية المعقدة التي تتضمن مُشفرًا ومفكفًا. تقوم أفضل النماذج الأدائية بربط المُشفر والمفكف أيضًا من خلال آلية الانتباه. نقترح هنا بنية شبكية جديدة بسيطة، وهي ""المحول""، تعتمد تمامًا على آليات الانتباه، متخليةً عن العودة والتحويلات بالكامل. تظهر التجارب على مهام ترجمة الآلات الاثنين أن هذه النماذج أفضل في الجودة مع القدرة على التوازي بشكل أكبر والحاجة إلى وقت أقل بشكل كبير للتدريب.",2,,5,literal translation with messy sentences,2,,7,,1,,4,,A,SC
,,,1,,"הדגמים המובילים של המתמרצים בסדרות מבוססים על רשתות נוירוניות מורכבות המתקדמות או רשתות נוירוניות המתקדמות, שכוללות מקודד ומפענח. הדגמים הטובים ביותר גם מחברים את המקודד והמפענח באמצעות מנגנון תשומת הלב. אנו מציעים ארכיטקטורת רשת חדשה ופשוטה, ה- Transformer, המבוססת רק על מנגנוני תשומת הלב, ומוותרת לחלוטין על החזרה ועל קונבולוציות. ניסויים על שתי משימות תרגום של מכונה מראים כי הדגמים הללו מובילים באיכות בנוסף ליכולתם להיות יותר ניתנים להפרדה לשכבות ולדרוש זמן רב פחות לאימון.",5,,4,"literal translation, repeating of words for no reason",2,,5,,1,,6,,H,SC
,,,2,,"Die Psychologin und Befürworterin der ""Wachstumsmentalität"" Carol Dweck sprach von der Plastizität des Gehirns und unserer Fähigkeit, Fähigkeiten und Talente zu entwickeln, in denen wir anfangs vielleicht nicht gut waren. Viele von uns neigen dazu, unser Lob auf das Endergebnis und scheinbar angeborene Talente zu konzentrieren, z.B. ""Du hast wirklich ein Auge für Details"" oder ""Du hast ein echtes Talent für die Organisation von Veranstaltungen"". Forschungen legen jedoch nahe, dass wir durch die Konzentration auf den Prozess, wie Dinge getan werden – durch das Loben von Anstrengung, Experimentieren und Problemlösungsstrategien – die Entwicklung neuer Fähigkeiten fördern und das kontinuierliche Verfeinern von Talenten ermutigen können.",6,Contains a run-on sentance ,5,badly written sentence especially at the end,8,Seems accurate,5,clearly machine translated,6,could be more formal,4,Some overengineering of the translation,G,C1
,,,2,,"Psycholog i zwolennik ""mentalności wzrostu"", Carol Dweck, mówiła o plastyczności mózgu i naszej zdolności do rozwijania umiejętności i talentów, w których na początku mogliśmy nie być dobrzy. Wielu z nas ma tendencję do skupiania się na chwaleniu za ostateczny wynik i pozornie wrodzone talenty, np. ""Naprawdę masz oko do szczegółów"" lub ""Masz prawdziwy talent do organizowania wydarzeń"". Jednak badania sugerują, że skupiając się na procesie wykonywania rzeczy – chwaląc za wysiłek, eksperymentowanie i strategie rozwiązywania problemów – możemy zachęcić do rozwijania nowych umiejętności i ciągłego doskonalenia talentów.",9,"Almost perfect, a bit unnatural",10,100%,10,,10,"Good, even if sometimes a bit machine like",7,Female/male form mix,9,"Great translation, minor mistakes",P,C1
,,,2,,"تحدثت عالمة النفس ومؤيدة ""عقلية النمو"" كارول دويك عن مرونة الدماغ وقدرتنا على تطوير المهارات والمواهب التي ربما لم نكن جيدين فيها منذ البداية. يميل الكثير منا إلى التركيز في مدحهم على النتيجة النهائية والمواهب التي تبدو فطرية، مثل ""أنت حقًا لديك حس للتفاصيل"" أو ""لديك موهبة حقيقية في تنظيم الأحداث"". ومع ذلك، تشير الأبحاث إلى أنه بالتركيز على عملية كيفية إنجاز الأمور - بمدح الجهد والتجريب واستراتيجيات حل المشكلات - يمكننا تشجيع تطوير مهارات جديدة واستمرار صقل المواهب.",7,,9,Very well translated,9,,7,,7,,8,,A,C1
,,,2,,"הפסיכולוגית ותומכת גישת ""התודעה לצמיחה"", קרול דווק, דיברה על גמישות המוח ויכולתנו לפתח מיומנויות וכישרונות שלא היינו טובים בהם בהתחלה. רבים מאיתנו נוטים להתמקד בשבחים על התוצאה הסופית והכישרונות שנראים כאילו הם טבעיים, למשל, ""אתה באמת יש לך עין לפרטים"" או ""יש לך כישרון אמיתי לארגון אירועים"". עם זאת, מחקרים מצביעים על כך שעל ידי התמקדות בתהליך שבו דברים נעשים – שבח על המאמץ, הניסוי ואסטרטגיות פתרון בעיות – אנחנו יכולים לעודד את פיתוח מיומנויות חדשות והמשך שיפור וליטוש הכישרונות.",7,,10,perfect,8,,7,,6,,8,,H,C1
,,,2,,"Ich ging zum Garten der Liebe,
 Und sah, was ich nie gesehen hatte:
 Eine Kapelle war in der Mitte erbaut,
 Wo ich einst auf dem Grün spielte.
 Und die Tore dieser Kapelle waren verschlossen,
 Und ""Du sollst nicht"" stand über der Tür geschrieben;
 So wandte ich mich dem Garten der Liebe zu,
 Der so viele süße Blumen trug.
 Und ich sah, dass er mit Gräbern gefüllt war,
 Und Grabsteine, wo Blumen sein sollten:
 Und Priester in schwarzen Gewändern, gingen ihre Runden,
 Und banden mit Dornen, meine Freuden & Wünsche.",8,More poetic. Descent translation,6,grammar mistakes,8,Seems good,8,not bad,9,good translation ,9,Almost perfect,G,PO
,,,2,,"Poszedłem do Ogrodu Miłości,
 I zobaczyłem coś, czego nigdy nie widziałem:
 Kaplica została zbudowana pośrodku,
 Gdzie kiedyś bawiłem się na zieleni.
 A bramy tej Kaplicy były zamknięte,
 I ""Nie wolno ci"" napisane nad drzwiami;
 Więc zwróciłem się ku Ogrodowi Miłości,
 Który niegdyś nosił tyle słodkich kwiatów.
 I zobaczyłem, że był wypełniony grobami,
 I nagrobkami tam, gdzie kwiaty być powinny:
 I Kapłani w czarnych szatach, chodzili swoimi rundami,
 I wiązali cierniami moje radości i pragnienia.",10,"Would not differeniate, if translated by the AI or a human",10,Context and wording perfect,9,"Perfect, two last sentences kind of strange",10,Exceptional,8,Sometimes fake,10,"Great translation, just one minor mistake, sounds poetic",P,PO
,,,2,,"ذهبت إلى حديقة الحب،
 وشاهدت ما لم أكن لأرى من قبل:
 تم بناء كنيسة في وسطها،
 حيث كنت ألعب على العشب.
 وكانت أبواب هذه الكنيسة مغلقة،
 وكُتب فوق الباب ""لا يجوز لك""؛
 فتوجهت إلى حديقة الحب،
 التي كانت تحمل العديد من الزهور العطرة.
 وشاهدت أنها كانت مليئة بالقبور،
 وشواهد القبور حيث يجب أن تكون الزهور:
 والكهنة في أردية سوداء، كانوا يسيرون في جولاتهم،
 ويربطون بالأشواك، أفراحي ورغباتي.",6,,8,nice translation with poetic words,8,,8,,5,,9,,A,PO
,,,2,,"נכנסתי לגן האהבה,
 וראיתי מה שמעולם לא ראיתי:
 כנסייה נבנתה במרכז,
 שם שיחקתי על הדשא.
 ושערי הכנסייה היו סגורים,
 ועל הדלת נכתב ""לא תעשה"";
 אז חזרתי לגן האהבה,
 שנשא כל כך הרבה פרחים מתוקים.
 וראיתי שהוא מלא בקברים,
 ומצבות במקום שהיו אמורים להיות פרחים:
 וכומרים באריגים שחורים הלכו בסיבוביהם,
 וקשרו בקוצים את שמחותי ותשוקותי.",6,,8,very nice translation with rhymes,8,,5,,6,,8,,H,PO
,,,2,,"Die vorherrschenden Modelle zur Sequenztransduktion basieren auf komplexen rekurrenten oder konvolutionellen neuronalen Netzwerken, die einen Encoder und einen Decoder umfassen. Die leistungsstärksten Modelle verbinden den Encoder und Decoder auch durch einen Aufmerksamkeitsmechanismus. Wir schlagen eine neue einfache Netzwerkarchitektur vor, den Transformer, der ausschließlich auf Aufmerksamkeitsmechanismen basiert und auf Rekurrenz und Konvolutionen vollständig verzichtet. Experimente mit zwei Aufgaben zur maschinellen Übersetzung zeigen, dass diese Modelle in der Qualität überlegen sind, während sie stärker parallelisierbar sind und signifikant weniger Zeit für das Training benötigen.",8,Is understandable. Could be nicer,7,"not bad, but still some spelling mistakes and weird uses of words",9,"Good translation, not too weird",7,beginning not so good but rest  ok,7,could be better,7,Parts are hard to read,G,SC
,,,2,,"Dominujące modele transdukcji sekwencji opierają się na złożonych sieciach neuronowych rekurencyjnych lub konwolucyjnych, które zawierają enkoder i dekoder. Najlepiej działające modele łączą również enkoder i dekoder poprzez mechanizm uwagi. Proponujemy nową, prostą architekturę sieciową, Transformer, opartą wyłącznie na mechanizmach uwagi, rezygnując całkowicie z rekurencji i konwolucji. Eksperymenty na dwóch zadaniach tłumaczenia maszynowego pokazują, że te modele są lepsze pod względem jakości, przy czym są bardziej równoległe i wymagają znacznie mniej czasu na trening.",9,"Very Good, minor technical words translation problems",10,"Great, words are precise",10,,10,Exceptional,9,,7,"Understandable, sometimes unnatural",P,SC
,,,2,,"تعتمد نماذج تحويل التسلسل السائدة على شبكات عصبية معقدة متكررة أو تلافيفية تشتمل على مشفر ومفكك. كما تربط النماذج الأداء الأفضل المشفر والمفكك من خلال آلية الانتباه. نقترح هيكلية شبكة جديدة بسيطة، الـ""ترانسفورمر""، تعتمد بالكامل على آليات الانتباه، متخلية تمامًا عن التكرار والتلافيف. أظهرت التجارب على مهمتين للترجمة الآلية أن هذه النماذج تتفوق في الجودة مع كونها أكثر قابلية للتوازي وتتطلب وقتًا أقل بشكل ملحوظ للتدريب.",4,,4,bad translation with unnecessary repetition of words,7,,8,,3,,7,,A,SC
,,,2,,"דגמי ההעברה של רצפים הדומיננטיים מבוססים על רשתות נוירונים מורכבות, רקורנטיות או קונבולוציוניות, הכוללות מקודד ומפענח. הדגמים בעלי הביצועים הטובים ביותר מחברים גם את המקודד והמפענח דרך מנגנון תשומת לב. אנו מציעים ארכיטקטורת רשת חדשה ופשוטה, הטרנספורמר, המבוססת כולה על מנגנוני תשומת לב, ומוותרת לחלוטין על הרקורנציה והקונבולוציות. ניסויים על שתי משימות של תרגום מכונה מראים שהדגמים הללו עליונים באיכות, תוך שהם יותר פרללים ודורשים פחות זמן משמעותית להכשרה.",4,,6,literal translation with weird sentences,7,,7,,3,,7,,H,SC
,,,3,,"Die Psychologin und Verfechterin des ""Growth Mindsets"" Carol Dweck sprach über die Plastizität des Gehirns und unsere Fähigkeit, Fähigkeiten und Talente zu entwickeln, in denen wir anfangs vielleicht nicht so gut waren. Viele von uns neigen dazu, ihr Lob auf das Endergebnis und scheinbar angeborene Talente zu konzentrieren, z. B. ""Du hast wirklich ein Auge für Details"" oder ""Du hast ein echtes Talent für die Organisation von Veranstaltungen"". Die Forschung deutet jedoch darauf hin, dass wir die Entwicklung neuer Fähigkeiten und die kontinuierliche Verfeinerung von Talenten fördern können, indem wir uns auf den Prozess des Vorgehens konzentrieren – indem wir Anstrengung, Experimentieren und Problemlösestrategien loben.",9,"Nice, Some repeat words",8,not bad at the end a few mistake ,9,"Very good, seems native",9,best one,8,"a bit repetitive in the end ,overall decent translation",10,Advanced wording,G,C1
,,,3,,"Psycholożka i propagatorka „mindsetu rozwoju” Carol Dweck mówiła o plastyczności mózgu i naszej zdolności rozwijania umiejętności i talentów, w których na początku mogliśmy być słabi. Wielu z nas chwali raczej końcowy efekt i pozornie wrodzone talenty, np. „Masz naprawdę dobre oko do szczegółów” lub „Masz prawdziwy talent do organizowania imprez”. Jednak badania sugerują, że skupiając się na procesie wykonywania czynności – chwaląc wysiłek, eksperymentowanie i strategie rozwiązywania problemów – możemy stymulować rozwój nowych umiejętności i ciągłe doskonalenie talentów.",8,"Good, some Anglicisations",9,"Great, some strange wording",10,,9,"Very good, some words could be translated more precisely",8,,8,"Actually good, female form sounds unnatural",P,C1
,,,3,,"تحدثت عالمة النفس والمؤيدة لعقلية النمو كارول Dweck عن قابلية الدماغ للتغيير وقدرتنا على تطوير مهارات ومواهب لم نكن نبرع فيها في البداية. يميل الكثير منا إلى تركيز إشادتنا على النتيجة النهائية والمواهب التي تبدو فطرية، على سبيل المثال ""لديك حقًا عيونًا ثاقبة للتفاصيل"" أو ""لديك موهبة حقيقية في تنظيم الفعاليات"". ومع ذلك، يقترح البحث أنه من خلال التركيز على عملية إنجاز الأمور - والثناء على الجهد والتجريب واستراتيجيات حل المشكلات - يمكننا تشجيع تطوير مهارات جديدة وصقل المواهب المستمرة.",2,,2,"the translation is a mess, both sentence structure and use of english word",10,"Here I can feel the connection between the sentences, and the translation is for the whole context",6,,4,,9,,A,C1
,,,3,,"הפסיכולוגית וחוקרת ה""מחשبة גמישה"" קרול דבק דיברה על הגמישות של המוח ועל היכולת שלנו לפתח מיומנויות וכישרונות שאולי לא היינו טובים בהם בהתחלה. רבים מאיתנו נוטים להתמקד בשבחים על התוצאה הסופית ועל כישרונות שנראים מולדים, לדוגמה: ""יש לך באמת עין לפרטים"" או ""יש לך כישרון אמיתי בארגון אירועים"". עם זאת, מחקרים מציעים שבאמצעות התמקדות בתהליך של איך דברים נעשים - שבח על מאמץ, ניסוי ותהליכי פתרון בעיות - נוכל לעודד את פיתוחן של מיומנויות חדשות ואת השיפור המתמשך של הכישרונות.",3,,6,"not bad, but had a hallucination with using arabic letters",8,,8,,4,,4,,H,C1
,,,3,,"Ich ging zum Garten der Liebe,
 Und sah, was ich nie gesehen:
 Eine Kapelle war in der Mitte errichtet,
 Wo ich früher auf dem Grün spielte.
 Und die Tore dieser Kapelle waren verschlossen,
 Und ""Du sollst nicht"" stand über der Tür geschrieben;
 Also wandte ich mich wieder zum Garten der Liebe,
 Der so viele süße Blumen trug.
 Und ich sah, dass er voller Gräber war,
 Und Grabsteine, wo Blumen sein sollten:
 Und Priester in schwarzen Gewändern gingen ihre Runden,
 Und banden meine Freuden und Sehnsüchte mit Dornen.",7,"Grammer mistakes, Not poetic",6,Grammar and spelling mistakes,6,Just feels wrong,5,mistakes,6,not much poetic,5,Syntax/tense problems?,G,PO
,,,3,,"Poszedłem do Ogrodu Miłości,
  I ujrzałem coś, czego nigdy nie widziałem:
  Kaplica została zbudowana pośrodku,
  Gdzie kiedyś bawiłem się na zieleni.
  A bramy tej Kaplicy były zamknięte,
  I napis ""Nie wolno"" widniał nad drzwiami;
  Więc odwróciłem się do Ogrodu Miłości,
  Który rodził tak wiele słodkich kwiatów.
  I zobaczyłem, że był wypełniony grobami,
  I nagrobkami tam, gdzie powinny być kwiaty:
  A Księża w czarnych szatach chodzili swymi ścieżkami,
  I wiązali cierniami moje radości i pragnienia.",7,"direct translation, no context",8,Missing poetic context,7,,9,"just a bit out of context, translation understandable",7,No context,8,"context ok, could be better, punctuation partially wrong",P,PO
,,,3,,"ذَهَبْتُ إلى بَسْتَانِ الْحُبِّ (dhahabtu ila bustani al-hubbi)
 فَرَأَيْتُ مَا لَمْ أَكُنْ أَرَاهُ مِنْ قَبْلُ (fara'aytu ma lam akun araahu min qablu)
 كَانَتْ هُنَاكَ كَنِيسَةٌ مَبْنِيَةٌ فِي الْوَسْطِ (kanat hunaka kanisah mabniyatun fi al-wasti)
 حَيْثُ كُنْتُ ألْعَبُ عَلَى الْخُضْرَةِ (haيثu kuntu al'abu 'ala al-khudrati)
 وَكَانَتْ أَبْوَابُ هَذِهِ الْكَنِيسَةِ مُغْلَقَةً (wa kanat abuabu hadhihi al-kanisati mughlaqatan)
 وَمَكْتُوبٌ فَوْقَ الْبَابِ ""لاَ تَفْعَلْ"" (wa maktūbun fawqa al-babi ""la taf'al"")
 فَتَوَجَّهْتُ إِلَى بَسْتَانِ الْحُبِّ (fattawajjahtu ila bustani al-hubbi)
 الَّذِي يَنْبُتُ فِيهِ كَثِيرٌ مِنَ الزَّهْرِ الْجَمِيلِ (alladhi yanbutu fihi kathirun mina al-zahri al-jameeli)
 فَرَأَيْتُهُ مُلِيئًا بِالْقُبُورِ (fara'aytuhu muli'an bil-quburi)
 وَشَوَاهِدَ الْقَبْرِ حَيْثُ يَجِبُ أَنْ تَكُونَ الزَّهْرَةُ (wa shawahide al-qabri haيثu yajib an takuna al-zahrah)
 وَكَهَنَةٌ بِثِيَابٍ سَوْدٍ يَتَجَوَّلُونَ فِي أَحْوَالِهِمْ (wa kahinatun bi-thiabin suwdin yatajawwaloona fi ahwalihim)
 وَيَقِيدُونَ أفْرَاحي وَرَغَبَاتي بِالْشَّوْكِ (wayaqiduuna afrahi wa raghabati bi-al-shawki)",8,,9,Very well translation with the arabic Arabic diacritical marks AND how to promounce them for english speakers,5,,5,,3,,10,,A,PO
,,,3,,"הלכתי אל גן האהבה, 
 (Halakhti el gan ha'ahava)
 
 וראיתי את אשר מעולם לא ראיתי:
 (V'raiti et asher me'olam lo ra'iti)
 
 קפלה נבנתה באמצע,
 (Kapela nivnet ba'emtza)
 
 במקום ששיחקתי על הירוק.
 (B'makom shechikakhti al hayarok)
 
 ושערי הקפלה היו סגורים,
 (Ve'shaarei hakapela hayu sagurim)
 
 ו""לא תעשה"" כתוב מעל הדלת;
 (Ve'lo ta'aseh katuv מעל ha'delet)
 
 אז פניתי אל גן האהבה,
 (Az פניתי el gan ha'ahava)
 
 שכל כך הרבה פרחים מתוקים נשאו.
 (She-kachol kakhara pirchayim metukים nasa'u)
 
 וראיתי אותו מלא בקברים,
 (V'raiti oto male be'kivrim)
 
 ומצבות במקום פרחים צריכות להיות:
 (U'matzevot b'makom pirchayim tzrikhot lihyot)
 
 וכוהנים בחלוקים שחורים, הלכו את סבביהם,
 (Ve'kohanim be'chalukim shechorim, halchu et sivvubehem)
 
 וכובלים בחוחים, את השמחות והתשוקות שלי.
 (Ve'kovlim be'chochim, et ha'simchot vehatshukot sheli)",8,,9,tranlated into a nice poetic language with help for english speakers to pronouce the words,5,,6,,4,,9,,H,PO
,,,3,,"Die dominierenden sequenzbasierten Übersetzungsmodelle basieren auf komplexen rekurrenten oder convolutional neuronalen Netzen, die einen Encoder und einen Decoder beinhalten. Die leistungsstärksten Modelle verbinden Encoder und Decoder zudem über einen Aufmerksamkeitsmechanismus. Wir schlagen eine neue, simple Netzwerkarchitektur vor, den Transformer, der vollständig auf Aufmerksamkeitsmechanismen basiert und damit auf wiederkehrende und faltende Schichten verzichtet. Experimente auf zwei Aufgaben der maschinellen Übersetzung zeigen, dass diese Modelle sowohl qualitativ hochwertiger sind als auch sich besser parallelisieren lassen und deutlich weniger Trainingszeit benötigen.",7,Has english words scattered in that could have been translated,7,spelling mistakes and use or words,5,Weird and inconsistent mix of English and German words,5,weird choice of translated words and english words,6,could be better and not all words are translated,8,Good,G,SC
,,,3,,"Wiodące modele transdukcji sekwencji opierają się na złożonych sieciach neuronowych rekurencyjnych lub konwolucyjnych, które zawierają koderek (encoder) i dekoder (decoder). Najlepiej działające modele łączą również koderek i dekoder za pomocą mechanizmu uwagi (attention mechanism). Proponujemy nową, prostą architekturę sieciową, Transformer, opartą wyłącznie na mechanizmach uwagi, całkowicie rezygnując z rekurencji i konwolucji. Eksperymenty na dwóch zadaniach tłumaczenia maszynowego pokazują, że te modele oferują lepszą jakość tłumaczenia, a jednocześnie są bardziej paralelizowalne i wymagają znacznie mniej czasu na szkolenie.",6,"Some awkward words used, overall ok",4,Could be better,5,Hard to follow,3,chaotic text,5,Lack of structure,7,"Some made up words are used, the english words are in the brackets, so it is ok",P,SC
,,,3,,النصوص المهيمنة للترجمة التسلسلية تعتمد على شبكات عصبونية معقدة متكررة أو ملتفة تتضمن ترميزًا وف譯ًا. كما أن أفضل النماذج أداءً تربط أيضًا بين الترميز والف译 من خلال آلية الانتباه. نقترح بنية شبكة جديدة بسيطة ، المحول ، تعتمد فقط على آليات الانتباه ، والتخلص تمامًا من التكرار والالتفاف. تظهر التجارب على مهمتي ترجمة آليتين أن هذه النماذج تتفوق في الجودة مع كونها قابلة للتوازي بشكل أكبر وتتطلب وقتًا أقل للتدريب.,3,,4,"bad translation, additional of another alphabel, bad grammatics and use of words",6,,4,,3,,3,,A,SC
,,,3,,"מודלים דומיננטיים לתרגום סדרתי מבוססים על רשתות נוירוניות מורכבות מסוג רקורסיבי או畳י (Convolutional) הכוללות מקודד ומפ译 (decoder). המודלים בעלי הביצועים הטובים ביותר מחברים גם בין המקודד למפ译 באמצעות מנגנון של תשומת לב (attention mechanism). אנו מציעים אדריכלות רשת חדשה ופשוטה, הטרנספורמר, המבוססת אך ורק על מנגנוני תשומת לב, ומתפנה לחלוטין מרקורסיביות ו畳י. ניסויים שנערכו בשתי משימות תרגום מכונה מראים כי מודלים אלו עדיפים באיכותם, ניתנים לביצוע מקבילי (parallelizable) באופן יעיל יותר ודורשים זמן אימון משמעותית פחות.",3,,5,"not the best translation, weird sentence and the use of another alphabet ",7,,3,,1,,3,,H,SC
